891009 2115  0.00  50.0000   07.0000   0.50   0.00 44 171
   66817 BUGKLS P        t    d        24.300   1.000   0
   66817 BUGKLS P        a    d        52.000   4.000   0
   66817 BUGKLS P        s    d         6.900   1.000   0
   66818 BUGKLS S        t    d        30.200   1.000   0
   66818 BUGKLS S        a    n        52.000   4.000   0
   66818 BUGKLS S        s    n         6.900   1.000   0
   67615 BUGHRH P        t    d        18.000   1.000   0
   67615 BUGHRH P        a    d       333.000   5.000   0
   67615 BUGHRH P        s    n         7.000   1.500   0
   67616 BUGHRH S        t    d        18.800   1.000   0
   67616 BUGHRH S        a    n       333.000   5.000   0
   67616 BUGHRH S        s    n         7.000   1.500   0
