910329 0341  11.00  50.0000   15.0000   1.00   0.00  12 171
       1 GEC2   Pn       t    d         4.42     0.200       0
       2 GEC2   Pn       a    d        31.230    2.000       0
       3 GEC2   Pn       s    d        12.288    0.500       0
       4 GEC2   Pg       t    d        10.400    0.300       0
       5 GEC2   Pg       a    d        31.200    5.000       0
       6 GEC2   Pg       s    d        16.498    0.50005     0
       7 GEC2   Sg       t    d        48.900    0.300       0
       8 GEC2   Sg       a    d        30.810    4.000       0
       9 GEC2   Sg       s    d        25.740    0.90005     0
      10 GEC2   Sg       t    d        59.400    0.500       0
      11 GEC2   Sg       a    d        33.750    3.600       0
      12 GEC2   Sg       s    d        25.740    0.900       0
