 12.12.81 MALDIVE ISL.R.   7.8  118.3   6.4  112.0   420 B4        66.5
 30.09.83 ETHIOPIA         8.3  125.2   7.8  134.0   558           46.0
 22.04.84 CEN.MID ATL.R.   7.3  214.7   7.1  218.0   406           56.7
 08.12.84 CEN.MID ATL.R.   7.2  217.2   6.9  222.0   406   	      58.7
 21.12.84 MID-INDIAN RISE  6.9  122.8   5.6  125.0   429 	         77.6
 19.11.89 HINDUKUSH REG.   7.2   92.9   8.0   84.0   718		      44.4
 31.12.89 CEN.MID ATL.R.   6.8  238.5   7.0  241.0   406		      58.1
 06.01.90 S.INDIAN OCEAN   4.6  115.4   5.0  103.0   425		      92.8
 11.01.90 KASH.-TIBET B.   6.8   84.6   7.5   78.0   304		      51.1
 14.01.90 QINGHAI, CHINA   6.3   72.9   7.1   69.0   325		      56.8
 17.01.90 0.COAST OREGON   4.9  336.2   5.4  331.0    30		      80.3
 20.01.90 IRAN             8.5  104.5   8.8   99.0   348		      33.2
 28.01.90 NORTH ATL.R.     7.9  263.8   8.0  265.0   403		      43.4
 21.02.90 LEEWARD ISLANDS  6.9  265.5   6.4  269.0    92		      66.7
 25.03.90 COSTA RICA       5.5  274.6   5.0  281.0    78		      86.4
 01.05.90 ALASKA PENINS.   5.4  348.8   6.0  354.0    12		      71.4
 03.05.90 E.COAST HONSHU   4.5   44.3   5.2   39.0   228		      83.2
 09.06.90 COAST CEN.SIB.   7.4   18.7   7.9   21.0   653		      45.6
 10.06.90 NORTHW. TERRIT.  6.3  341.0   6.6  338.0   679		      62.8
 02.07.90 MID-INDIAN RISE  6.6  125.2   5.6  125.0   429		      77.6
 13.08.90 SOUTH. ALASKA    5.7  348.5   6.2  351.0    14	 A3,B4	69.7
 07.02.91 ALEUTIAN ISL.    5.1   17.7   5.6   11.0     5		      78.0
 10.02.91 CEN.MID ATL.R.   6.7  243.3   6.9  244.0   406		      58.8
 01.03.91 CEN.SIBERIA      6.9   18.7   7.5   21.0   726		      50.4
 08.03.91 EAST.SIBERIA     5.5   13.9   6.3   12.0   671		      68.0
 21.04.91 MALAGASAY REP.   6.7  135.8   5.8  145.0   583		      74.5
 09.06.91 N.OF SVALBARD    8.8  356.4   8.9  357.0   641		      30.8
 18.06.91 N.OF SEV.ZEMLYA  7.7   11.8   8.0   11.0   651		      43.4
 27.06.91 GULF OF CALIF.   4.4  303.9   4.8  307.0   523		      88.8
 28.06.91 SOUTH. CALIF.    4.6  317.3   5.1  320.0    43		      85.1
 30.06.91 SOUTH ATL.RIDGE  6.7  205.8   6.3  206.0   410		      67.4
 02.07.91 NORWEGIAN SEA   10.3    0.8    9.9    1.0   642		      23.4
 05.07.91 IRAN-IRAQ BOR.   9.5  110.5   9.2  105.0   346		      27.7
 13.07.91 O.COAST OREGON   4.8  335.8   5.3  329.0    30	B5	      81.0
 21.07.91 CEN.MID-ATL.R.   6.7  240.2   7.0  242.0   406		      58.2
 25.07.91 OAXACA,MEXICO    5.1  287.2   4.9  294.0   525		      86.7
 20.05.90 SUDAN            7.6  151.0   7.7  151.0   557           47.8
 14.02.91 IRAN             9.4  112.0   8.6  108.0   348           35.5
 21.02.91 BERING SEA       5.3    5.2   6.0    4.0     3           72.1
 29.03.91 SUDAN            7.5  148.9   7.7  151.0   557           47.9
 10.05.91 ZAMBIA           6.7  163.5   6.3  166.0   576 B3        67.9
 22.02.91 TANZANIA         7.2  145.2   7.0  151.0   573           57.5
 18.04.87 S ALASKA         5.8  348.0   6.2  350.7     2           68.3
 31.05.82 KOMANDORSKY      5.1   14.6   5.9   15.1     4           73.3
 30.01.81 RAT ISL.         5.0   14.1   5.5    9.7     6           78.1
 31.07.82 RAT ISL.         4.9   12.5   5.5    9.8     6           78.1
 04.06.82 ADREANOF ISL.    4.7   10.7   5.5    5.7     7 C3        78.8
 01.07.82 ADREANOF ISL.    4.7   12.7   5.4    7.4     7 A3,C2     78.8
 09.06.83 ADREANOF ISL.    4.7    7.1   5.4    3.7     7 B2,C4     79.2
 02.08.80 FOX ISL.         4.9    1.6   5.5    0.6     9 B4        78.6
 10.08.80 UNIMAK ISL.      5.1  354.8   5.6  356.9    10 B4,B5     77.0 
 01.08.80 ALASKA           5.6  346.4   6.2  349.7    15 B4,B5     69.9
 14.02.83 S ALASKA         5.1  350.0   5.7  354.6    15           75.4
 14.02.83 S ALASKA         5.1  350.3   5.7  354.6    15           75.4
 28.06.83 SE ALASKA        5.7  344.1   6.2  345.9    15           68.2
 12.07.83 S ALASKA         5.7  346.8   6.2  349.2    15           68.3
 07.09.83 S ALASKA         5.7  346.5   6.2  349.3    15 B4        68.4
 06.09.82 KODIAK ISL.      5.3  347.3   5.8  350.5    17           72.9
 28.10.83 E IDAHO          5.3  323.2   5.7  322.7    33           75.1
 29.10.83 W IDAHO          5.5  322.4   5.7  322.9    33 B2        75.0
 08.11.80 N CALIFORNIA     4.7  333.6   5.3  327.9    35           81.5
 09.07.83 CALIFORNIA       4.4  323.4   5.0  322.9    39           84.3
 22.07.83 CALIFORNIA       4.5  322.2   5.0  322.9    39           84.3
 26.04.80 S NEVADA NEX     4.8  320.0   5.2  320.7    40           81.1
 24.06.82 S NEVADA NEX     4.9  317.5   5.2  320.6    40           81.9
 05.08.82 S NEVADA NEX     4.8  318.3   5.2  320.3    40           81.8
 14.04.83 S NEVADA NEX     4.8  318.1   5.2  320.3    40           81.8
 24.10.80 MEXICO           4.8  289.5   4.7  296.6    59           88.3
 24.01.83 OAXACA           5.2  282.7   4.8  293.1    60           88.1
 09.08.80 HONDURAS         5.9  279.4   5.0  287.9    70 A2,B4     84.2
 06.04.82 CHIAPAS          5.5  278.7   4.8  289.2    70 B1        87.6
 20.07.80 MEX. GUATEM.     5.5  280.5   4.9  290.8    70 B4,B5     85.9
 29.09.82 GUATEMALA        6.0  276.8   4.9  287.5    70 B4        85.6
 24.11.82 CENT.AMERICA     5.8  277.7   4.8  287.8    71           88.1
 19.06.82 EL SALVADOR      5.9  275.4   4.8  286.9    76 B4,C2     86.7
 03.04.83 COSTA RICA       5.8  269.6   4.9  279.3    78           86.2
 23.09.83 COSTA RICA       5.7  269.9   4.9  279.3    78           86.6
 19.08.82 S PANAMA         5.5  269.7   4.8  277.6    83 B5        87.5
 30.01.82 LEEWARD          6.8  263.9   6.4  268.0    92 C4        66.2
 23.11.82 LEEWARD          7.1  264.2   6.3  269.6    92 C4        66.1
 08.03.83 WIDWARD ISL.     6.6  260.3   6.0  265.1    97           71.1
 11.04.83 VENEZUELA        6.6  260.3   6.0  265.0    97           71.8
 23.11.79 COLUMBIA         5.7  263.5   5.0  271.5   103 A2,B2,C2  84.7
 06.05.81 ECUADOR          5.6  263.4   4.6  270.7   104           92.8
 12.04.83 PERU-ECUADOR     5.3  257.1   4.5  266.7   111           93.2
 03.11.83 PERU-ECUADOR     5.5  259.7   4.5  268.2   111           93.4
 28.03.82 PERU             5.6  254.9   4.6  259.7   116 B1,C4     97.8
 15.09.82 PERU             5.4  250.3   4.6  254.9   116           95.8
 01.01.83 PERU-BOLIV.      5.4  247.6   4.6  252.1   116           96.7
 02.06.83 PERU-BRAZIL      5.5  252.8   4.6  258.5   116           92.3
 01.09.83 PERU-BOLIV.      5.2  247.4   4.5  252.4   116 B4        97.5
 11.12.80 CHILE-BOLIV.     5.2  244.1   4.5  248.5   125 A3,A4     99.4
 19.12.80 S HONSHU         4.4   49.5   4.8   42.1   211 A4        88.3
 06.09.82 HONSHU           4.3   51.4   4.7   43.0   211 B2        89.3
 04.07.82 S RYUKYU         4.3   54.6   4.7   46.2   212 B2        88.9
 20.08.83 BONIN ISL.       4.0   50.3   4.6   42.6   213 B4        91.1
 14.11.82 E KAMCHATKA      5.1   23.3   5.7   20.0   219           74.1
 15.01.83 E KAMCHATKA      5.1   22.9   5.8   19.2   219           74.5
 04.04.83 E KAMCHATKA      5.0   21.9   5.8   19.3   219           74.4
 15.04.83 E KAMCHATKA      5.1   21.7   5.8   18.9   219           74.0
 17.06.83 E KAMCHATKA      5.0   23.8   5.7   19.7   219           75.0
 24.07.83 E KAMCHATKA      5.1   22.8   5.8   19.8   219           73.1
 31.12.80 KURIL            5.0   31.6   5.5   27.3   221 A4,B5     78.6
 23.08.81 KURIL ISL.       5.0   25.3   5.6   22.4   221           77.7
 03.09.81 KURIL ISL.       4.6   33.1   5.4   31.3   221           79.4
 30.06.82 KURIL ISL.       4.8   32.5   5.4   28.1   221 C2        79.7
 01.05.83 KURIL ISL.       4.7   25.6   5.4   25.9   221           78.9
 20.04.84 SEA OKHOTSK      4.9   30.4   5.6   27.1   221           74.1
 09.06.83 W HONSHU         4.6   40.7   5.4   38.2   226           79.4
 24.09.80 E HONSHU         4.5   46.6   5.0   40.1   228           83.8
 18.01.81 E HONSHU         4.6   40.9   5.2   36.6   228 B5        82.2
 22.01.81 E HONSHU         4.6   41.6   5.2   36.8   228           82.5
 15.10.81 E HONSHU         4.5   39.1   5.3   36.1   228           80.6
 23.08.82 E HONSHU         4.3   44.7   5.1   38.6   228 B5        83.7              
 28.11.86 E HONSHU         4.6   44.5   5.0   38.5   228           83.6
 23.01.81 HOKKAIDO         4.9   37.7   5.5   35.0   228           78.6
 30.04.83 HOKKAIDO         4.6   37.3   5.3   34.5   228           80.1
 21.06.83 HOKKAIDO         4.7   40.7   5.5   37.6   228           78.5
 25.08.83 KYUSHU           4.6   55.3   5.2   47.1   235 B4        81.7
 21.06.83 RYUKYU           4.6   58.0   5.0   50.1   238 C2        83.8              
 24.01.88 RYUKYU           4.8   61.0   4.9   53.2   238           85.5
 05.07.82 JAPAN            4.6   56.2   5.0   49.3   238 C2        83.3
 17.12.82 TAIWAN           4.4   62.9   5.0   58.7   243           84.3
 26.04.83 TAIWAN           4.6   63.2   5.0   58.7   243           84.3
 21.06.83 TAIWAN           4.8   65.8   5.0   59.1   243           84.5
 21.09.83 TAIWAN           4.8   66.7   5.0   59.3   243           84.5
 12.12.81 SW RYUKYU        4.5   64.1   4.9   56.7   246 B4        86.6
 17.04.82 PHILIPP. ISL.    4.2   67.4   4.8   62.8   248 B1        86.9
 28.12.82 PHILIPP. ISL.    4.8   68.1   4.8   62.4   248           87.3
 03.07.83 PHILIPP. ISL.    4.3   65.7   4.7   61.6   248           87.7
 26.10.80 SAMAR            4.4   67.6   4.6   64.2   249           96.2
 22.11.81 LUZON            4.4   66.9   4.8   63.6   249           87.9
 06.05.83 LUZON            4.5   70.6   4.7   65.0   249           91.0
 06.08.88 BURMA-INDIA      5.7   82.0   6.3   77.4   298           67.4
 15.04.83 SE ASIA          4.8   92.8   5.5   82.1   299           77.4
 22.04.83 SE ASIA          4.7   92.7   5.5   82.1   299 C4        77.4
 24.06.83 SE ASIA          5.1   81.2   5.8   74.4   299 B4        75.0
 23.01.82 TIBET            6.6   90.6   7.2   81.    306 A4,B4     54.7
 05.11.83 TIBET            6.3   80.5   7.0   73.8   306           58.1     
 09.05.88 INDIA-CHINA      5.9   81.0   6.4   74.7   313           64.5
 01.07.85 B.OF BENGAL      5.7   98.6   6.3   88.2   319           67.2
 05.06.87 S SINKIANG       6.6   71.0   7.3   67.3   321           52.5
 05.01.84 GANSU CHINA      6.2   68.0   6.6   62.8   322           62.8
 12.07.80 QINGHAI CHIN     6.6   73.5   7.0   68.9   325 C3        58.6
 30.07.82 L. BAIKAL        6.2   47.9   7.4   47.4   327           53.7
 00.00.00 E KAZAKH  MW     7.1   63.5   8.2   63.0   329           42.3
 31.12.82 ALMA ATA         7.1   77.6   8.0   72.3   330           45.0
 03.03.83 N XINJIANG       6.6   70.4   7.7   66.1   332           50.0
 19.03.84 UZBEKH SSR       7.7   94.8   8.4   84.1   339           37.4
 07.12.79 IRAN             8.3  103.2   8.4   95.1   348 C2        38.7
 26.03.83 IRAN             8.6  106.0   8.7   99.1   348           32.6
 05.03.83 W IRAN           9.4  113.1   8.7  106.9   348           33.0
 28.05.83 W IRAN           9.4  113.2   8.7  107.6   348           32.5
 11.06.81 S IRAN           8.9  109.1   8.3  101.9   353 C4        40.1
 11.07.82 S IRAN           8.9  114.2   8.3  105.6   353 C2        40.6
 07.02.83 S IRAN           8.9  112.7   8.2  105.4   353           42.1
 18.04.83 S IRAN           8.3  110.8   8.1  100.3   353           44.3
 12.07.83 S IRAN           9.1  113.1   8.3  105.8   353           40.8
 16.10.82 SW USSR          9.2   85.7   9.7   82.2   357           24.7
 24.09.83 SW USSR          9.3   86.4   9.7   82.0   357           24.7
 11.03.84 W CAUCASUS      10.2  100.3  10.1   95.4   362           21.4
 19.12.81 AEGEAN SEA      13.1  137.0  13.1  131.2   365 A4,B4     14.4
 05.07.83 TURKEY          12.9  127.9  13.1  123.6   366           14.7
 04.03.81 GREECE          13.2  141.5  13.1  138.8   368           14.4
 17.01.83 GREECE          13.6  149.6  13.3  148.3   368           13.3
 17.08.82 MEDITER.SEA     13.1  143.6  12.5  147.5   400           18.1
 24.01.83 N ATL. OCEAN    10.7  253.3  10.2  252.4   402           20.7
 18.02.83 N ATL. OCEAN     9.0  303.8   9.2  306.6   402           26.3
 17.10.83 N ATLANTIC       9.3  251.3   9.7  251.7   402           23.9
 26.03.80 N ATL. RIDGE     7.3  259.9   7.5  261.7   403           50.8
 22.12.82 N ATL. RIDGE     8.7  276.4   9.2  277.8   403           26.1
 11.08.88 N ATL. RIDGE     8.7  284.0   9.3  284.3   403           25.5
 20.09.86 AZORES           6.9  223.3   6.8  228.7   404           59.7
 03.06.80 AZORES           8.5  264.5   8.8  266.0   405 B4        32.3
 09.03.84 AZORES           8.8  267.2   8.8  268.8   405           29.8
 13.10.83 C MID-ATLANT     7.2  216.2   7.0  220.7   406           57.8
 22.04.84 C MID-ATLANT     7.3  215.4   7.2  218.7   406           56.7
 21.05.88 C MID-ATLANT     6.7  223.0   6.8  229.8   406           60.2
 24.09.83 ASCENSION        7.4  214.1   6.8  208.3   408           60.2
 08.04.83 ARABIAN SEA      8.3  120.1   7.3  118.9   417           53.9
 29.07.83 CARLSBERG R.     8.5  119.4   7.3  120.1   421           54.3
 30.11.83 CHARGOS ARCH     6.6  122.3   5.6  117.4   426           77.1
 23.01.81 ATL.IND.RISE     5.7  132.3   4.7  138.8   428           90.5
 29.11.82 ATL.IND.RISE     5.7  134.8   4.6  138.8   428           90.4
 16.05.85 MID.IND.RISE     5.3  130.2   4.5  125.8   429           98.1
 14.08.88 UTAH             5.1  316.0   5.3  317.6   478           77.9
 23.11.80 S ITALY         13.2  161.8  13.8  161.4   546 B2         9.2
 22.12.83 NW AFRICA        8.4  216.6   8.2  217.8   550           42.9
 12.06.83 EGYPT            9.3  129.1   9.2  133.8   553           27.0
 13.12.82 W ARAB. P.       8.3  124.3   8.1  130.8   555           44.1
 11.01.84 ZAIRE            7.2  158.2   7.0  160.7   567           57.6
 03.07.82 L. TANGANYKA     7.3  154.6   7.2  158.8   572 B2,C2     55.4
 14.05.85 TANZANIA         6.9  139.0   6.4  147.0   573           65.6
 21.06.82 MOZAMBIQUE       6.5  140.7   5.8  151.5   582 B4,C2     74.8
 12.08.80 ICELAND         10.4  324.6  10.5  325.8   638 A2,B4     21.3
 19.03.83 ICELAND          9.3  333.0   9.7  334.4   638           23.7
 26.09.83 ICELAND REG.     9.4  311.7   9.7  315.3   638           24.1
 20.11.79 JAN MAYEN       10.3  346.9    9.7  344.2   639 A2,B2,B   23.3
 27.06.84 JAN MAYEN        8.8  336.4   9.7  339.1   639           24.3
 28.10.84 JAN MAYEN       10.2  349.6    9.7  347.2   639           23.0
 04.05.84 GREENL. SEA      9.5  355.4   9.7  357.1   640           23.9
 00.00.00 NEX NOVAYA Z.    8.8   23.4   8.9   23.0   648           30.2
 18.08.83 NEX NOVAYA Z     8.6   22.7   8.8   22.9   648 B4        30.3
 25.09.83 NEX NOVAYA Z     8.7   23.1   8.8   22.9   648           30.3
 11.06.82 SEVERNAYA Z.     7.9    4.7   8.3    6.6   651           39.6
 11.06.82 SEVERNAYA Z.     7.9    4.6   8.3    6.5   651           39.6
 12.06.82 SEVERNAYA Z.     7.9    5.5   8.3    6.5   651           39.5
 10.06.83 LAPTEV SEA       7.1   17.2   7.9   18.5   653 B2,C4     47.5
 08.10.83 USSR-CHINA       4.9   44.6   5.7   41.2   660           72.6
 06.11.83 E CHINA          5.7   63.8   6.0   56.8   664           72.1
 23.12.85 NW TER. CANADA   6.1  341.4   6.6  338.4   679           62.9
 22.05.88 NW TER. CANADA   6.2  342.0   6.6  338.3   679           62.9
 24.01.83 ANDAMAN ISL.     5.1   99.2   5.7   87.5   703           75.3
 20.02.83 ANDAMAN ISL.     5.2   99.1   5.8   88.0   703           74.9
 16.11.87 ANDAMAN ISL.     5.1   95.0   5.6   84.4   703           75.7
 04.04.83 N SUMATERA       4.6  105.9   5.2   91.5   706           81.7
 02.07.83 N SUMATERA       4.5  106.0   5.2   91.5   706           81.4
 29.06.85 N SUMATERA       4.2  110.0   4.8   91.6   706           87.2
 16.12.83 KIRGHIZ SSR      7.2   86.1   8.1   79.2   715           44.1
 11.07.80 TAJIK SSR        7.3   86.5   8.2   79.7   715 B4,C3     42.1
 02.07.82 AFGH.-USSR       7.0   94.9   7.9   83.5   717 A3,C2     44.4
 12.09.83 AFGH.-USSR       7.1   93.9   7.9   83.7   717           44.5
 30.10.83 AFGH.-USSR       7.1   93.8   8.0   83.5   717 B2        44.8
 28.05.85 AFGH.-USSR	      6.8   93.3   7.9   83.7   717           44.7
 16.12 82 HINDU KUSH       7.6   97.0   8.1   85.5   718           43.4
 25.01.83 HINDU KUSH       7.3   95.7   8.0   83.9   718           44.4
 04.09.82 W SIBERIA        8.1   33.3   8.4   32.9   725           38.0
 25.11.88 S QUEBEC         7.2  297.    7.4  302.    447           52.  1
 12.12.88 RYUKYU           4.8   60.    5.1   53.    238           85.  1
