PDE-W 2002 0101103906.82  -55.21 -129.00  10         6.00 MwGS    ...G .......
PDE-W 2002 0101112922.73    6.30  125.65 138         6.30 MwGS    4F.G .......
PDE-W 2002 0102102407.63  -16.33  177.92  33         5.70 MwGS    ...G .......
PDE-W 2002 0102172248.76  -17.60  167.86  21         7.50 Ms GS   .CFG .T....S
PDE-W 2002 0102173131.58  -17.58  167.74  10         5.70 mb GS   .... .......
PDE-W 2002 0103070527.67   36.09   70.69 129         6.20 MwGS    .C.G .......
PDE-W 2002 0103101736.30  -17.66  168.00  10         6.70 MwHRV   .F.G .......
PDE-W 2002 0106013339.72   48.78  154.96  44         5.50 mb GS   .... .......
PDE-W 2002 0106163847.14  -17.53  168.13  10         5.60 MwHRV   ...G .......
PDE-W 2002 0106220003.87   52.10 -171.06  33         5.50 MLPMR   .... .......
PDE-W 2002 0106220701.49   52.06 -171.07  33         6.00 MLPMR   .... .......
PDE-W 2002 0107025254.34   52.03 -171.17  33         5.50 MLPMR   .... .......
PDE-W 2002 0107132626.48   18.96  144.96 599         5.90 MwGS    ...G .......
PDE-W 2002 0110055603.46  -17.57  167.91  10         5.70 Ms GS   ...G .......
PDE-W 2002 0110111456.93   -3.21  142.43  11         6.70 MwHRV   .C.G .......
PDE-W 2002 0111051630.23  -10.59  165.29  33         5.80 MwGS    ...G .......
PDE-W 2002 0112082652.90   28.28  -69.57  10         5.70 mb GS   ...G .......
PDE-W 2002 0113110419.81  -20.44 -173.96  33         5.70 Ms GS   ...G .......
PDE-W 2002 0113141056.52   -5.65  151.07  43         6.40 Ms GS   ...G .......
PDE-W 2002 0113163254.17  -17.43  167.81  10         5.90 MwHRV   ...G .......
PDE-W 2002 0114153626.49  -19.38  -69.23  33         5.80 MwGS    5D.G ......S
PDE-W 2002 0115044759.85  -17.33  167.72  10         6.10 Ms GS   ...G .......
PDE-W 2002 0115071258.03   -6.31  105.21  10         6.30 Ms GS   6F.G .......
PDE-W 2002 0115090115.95   -5.53  151.10  41         6.20 MwGS    ...G .......
PDE-W 2002 0116170534.96   -6.09  142.56  10         5.50 mb GS   ...G .......
PDE-W 2002 0116230952.08   15.50  -93.13  80         6.40 MwGS    .F.G .......
PDE-W 2002 0119090616.62   43.92  147.27  55         5.70 mb GS   4F.G .......
PDE-W 2002 0121140351.65   -5.63  102.34  33         5.50 MwHRV   ...G .......
PDE-W 2002 0122045352.65   35.79   26.62  88         6.30 MwGS    .C.G .......
PDE-W 2002 0124175225.42    3.54   95.66  33         5.60 mb GS   ...G .......
PDE-W 2002 0124181205.29    3.53   95.66  33         5.70 MwGS    ...G .......
PDE-W 2002 0124210711.42   -4.57 -104.81  10         5.80 MwGS    ...G .......
PDE-W 2002 0125032811.67  -20.86 -178.76 576         5.50 mb GS   .... .......
PDE-W 2002 0128135028.72   49.38  155.59  33         6.10 mb GS   ...G .......
PDE-W 2002 0128150955.89  -15.30 -173.23  33         6.10 Ms GS   ...G .......
PDE-W 2002 0130084203.40   18.19  -95.91 108         5.90 MwGS    .D.G .......
PDE-W 2002 0130125819.22   -6.25  150.89  33         6.00 Ms GS   ...G .......
PDE-W 2002 0131001322      -4.96  151.26 131         5.50 MwGS    ...G .......
PDE-W 2002 0131162719.25  -12.80  169.53 667         5.80 MwGS    ...G .......
PDE-W 2002 0201215520.99   45.46  136.72 355         6.20 mb GS   2..G .......
PDE-W 2002 0203071128.41   38.57   31.27   5         6.50 MwHRV   .C.G F.....G
PDE-W 2002 0203071436.42   38.70   30.87  10         5.50 mb GS   .... .......
PDE-W 2002 0203092643.35   38.63   30.90  10         6.00 MwGS    ...G .......
PDE-W 2002 0205132724.67   -5.34  151.25  39         6.60 MwGS    ...G .......
PDE-W 2002 0207031553.48    3.03  126.29  33         5.80 MwHRV   ...G .......
PDE-W 2002 0210014706.23  -55.91  -29.00 193         6.00 MwGS    ...G .......
PDE-W 2002 0212032725.93   23.72  121.56  54         5.80 mb GS   6F.G .......
PDE-W 2002 0212134437.34   36.59  140.95  45         5.60 mb GS   6F.. .......
PDE-W 2002 0214232313.43   14.99  -92.64  75         5.80 MwGS    ...G .......
PDE-W 2002 0215014637.85  -36.23 -100.30  10         6.00 MwGS    ...G .......
PDE-W 2002 0217130352.71   28.09   51.76  33         5.60 mb GS   .C.G .......
PDE-W 2002 0219003545.70   -3.73  150.99  10         6.10 MwGS    ...G .......
PDE-W 2002 0219123324.14  -56.74  -25.44  33         5.70 MwGS    ...G .......
PDE-W 2002 0220190717.10   -7.68   31.90  38         5.70 mb GS   ...G .......
PDE-W 2002 0222193241.75   32.32 -115.32   7         5.70 MwGS    .D.G .......
PDE-W 2002 0223193713.83   -4.45  151.98 155         5.70 MwGS    ...G .......
PDE-W 2002 0224022431.57   -5.65  130.76 109         5.60 MwGS    ...G .......
PDE-W 2002 0224063737.20  -44.11  168.58  12         5.80 MLWEL   ...G .......
PDE-W 2002 0226083248.93  -18.30  -69.71  91         5.60 MwGS    5F.G .......
PDE-W 2002 0228015048.94   -5.68  151.26  40         6.30 Ms GS   ...G .......
PDE-W 2002 0302031454.67  -35.72  -17.62  10         5.50 Ms GS   .... .......
PDE-W 2002 0303071615.69  -45.84  -76.12  10         6.00 MwHRV   ...G .......
PDE-W 2002 0303120807.81   36.43   70.44 209         6.30 mb GS   .... .......
PDE-W 2002 0303120819.74   36.50   70.48 225         7.40 MwHRV   .C.G ......S
PDE-W 2002 0304202122.85   28.45  143.27  45         5.50 mb GS   ...G .......
PDE-W 2002 0305211609.13    6.03  124.25  31         7.50 MwHRV   .C.G .T....S
PDE-W 2002 0307000706.93   47.88  146.96 440         5.60 MwHRV   2..G .......
PDE-W 2002 0308182753.19    5.87  124.27  23         6.00 MwGS    ...G .......
PDE-W 2002 0309122711.22  -56.02  -27.33 118         6.00 MwGS    ...G .......
PDE-W 2002 0311014620.67   30.60  141.57  33         5.90 mb GS   ...G .......
PDE-W 2002 0314160831.40   51.53 -173.08  33         5.90 MwHRV   3F.G .......
PDE-W 2002 0316205002.23   -6.20  151.40  33         5.60 mb GS   ...G .......
PDE-W 2002 0317033719.94    0.68  122.32  79         5.80 MwHRV   4F.G .......
PDE-W 2002 0317035747.30   51.46 -173.27  33         5.50 mb GS   .F.. .......
PDE-W 2002 0317193333.78  -45.22   35.10  10         6.00 MwGS    ...G .......
PDE-W 2002 0317205032.46  -33.26 -179.73  33         5.60 mb GS   ...G .......
PDE-W 2002 0317214331.11  -36.82 -179.79  36         5.80 mb GS   ...G .......
PDE-W 2002 0317221318.20  -36.87 -179.74  35         5.50 MwHRV   ...G .......
PDE-W 2002 0318030956.94  -20.39  -69.00  92         5.50 mb GS   5F.G .......
PDE-W 2002 0319221414.93   -6.49  129.90 148         6.10 MwGS    .F.G .......
PDE-W 2002 0320040018.60   30.51  141.96  10         5.90 MwGS    ...G .......
PDE-W 2002 0322173659.22    4.59  126.32  76         5.70 mb GS   ...G .......
PDE-W 2002 0323051551.39    1.39  128.11 115         5.70 MwGS    ...G .......
PDE-W 2002 0325145633.82   36.06   69.32   8         6.20 Ms GS   .C.G ......S
PDE-W 2002 0326034548.70   23.35  124.09  33         6.60 Ms GS   ...G .......
PDE-W 2002 0327085252.27   36.02   69.34  10         5.90 mb GS   .C.G ......S
PDE-W 2002 0328045622.40  -21.66  -68.33 125         6.50 MwGS    .F.G ......S
PDE-W 2002 0328054825.94   22.64  -45.15  10         5.60 MwHRV   ...G .......
PDE-W 2002 0328055038.16   22.60  -45.16  10         5.50 mb GS   .... .......
PDE-W 2002 0331065250.49   24.28  122.18  32         7.40 Ms GS   9C.G .T....S
PDE-W 2002 0331230956.88   14.35  -92.59  62         5.50 MDUNM   .... .......
PDE-W 2002 0401195932.48  -29.67  -71.38  71         6.40 MwGS    .DFG ......S
PDE-W 2002 0402170958.18  -49.53 -116.07  10         5.60 Ms GS   .... .......
PDE-W 2002 0403234212.81   41.54  141.85  71         5.70 MwHRV   4F.G .......
PDE-W 2002 0405230229.30  -15.27 -173.43  33         5.70 MwHRV   ...G .......
PDE-W 2002 0407014126.15  -60.94  154.25  10         6.20 MwHRV   ...G .......
PDE-W 2002 0407120940.71  -10.83  164.19  33         5.80 MwGS    ...G .......
PDE-W 2002 0408034855.24  -51.07  139.27  10         6.20 MwGS    ...G .......
PDE-W 2002 0410100921.29  -20.74  169.29  33         5.90 MwGS    ...G .......
PDE-W 2002 0411215656.39  -14.39  167.69  10         6.20 Ms GS   ...G .......
PDE-W 2002 0412040023.74   35.96   69.42  10         5.90 Ms GS   .C.G ......S
PDE-W 2002 0413153602.48    1.10  125.38  54         5.60 mb GS   ...G .......
PDE-W 2002 0414020421.14   38.53   73.40 117         5.50 MwGS    .F.G .......
PDE-W 2002 0414040523.95    7.32  126.66  33         5.60 MwGS    .F.G .......
PDE-W 2002 0415035206.28   13.08  143.79 116         5.50 mb GS   ...G .......
PDE-W 2002 0418050246.19   16.99 -100.86  24         6.30 MwHRV   .D.G .......
PDE-W 2002 0418141723.94  -60.66  -25.84  10         5.80 MwHRV   ...G .......
PDE-W 2002 0418160836.78  -27.53  -70.59  62         6.70 MwGS    .D.G .......
PDE-W 2002 0420155957.86  -16.38  173.26  33         6.00 mb GS   ...G .......
PDE-W 2002 0423150531.65  -12.52  166.94 217         5.60 MwGS    ...G .......
PDE-W 2002 0424070816.51   51.08 -177.88  33         5.60 MLPMR   3F.. .......
PDE-W 2002 0424105150.93   42.44   21.47  10         5.70 MwHRV   7C.G .......
PDE-W 2002 0424110000.86  -56.13 -122.31  10         6.20 MwHRV   ...G .......
PDE-W 2002 0426071511.50   53.51  160.63  62         5.90 mb GS   ...G .......
PDE-W 2002 0426160607      13.09  144.62  85         7.10 MwGS    .C.G .......
PDE-W 2002 0427235353.52  -30.94  -67.39  33         5.50 MLGUC   .... .......
PDE-W 2002 0504070048.25  -17.90 -178.74 559         5.80 MwGS    ...G .......
PDE-W 2002 0504125138.93  -23.07  -64.49  33         5.60 MwHRV   ...G .......
PDE-W 2002 0504125954.01  -41.40  172.25  33         5.50 MLWEL   .F.. .......
PDE-W 2002 0507151606.91  -19.03  168.66  33         5.90 MwGS    ...G .......
PDE-W 2002 0508052600.36  -17.95 -174.57 130         6.30 MwHRV   ...G .......
PDE-W 2002 0508194518.86   53.81  160.77  39         5.90 MwHRV   ...G .......
PDE-W 2002 0509234130.87    2.65  128.30 173         5.70 mb GS   ...G .......
PDE-W 2002 0511104307.89  -10.42  -78.51  46         5.70 MwGS    4F.G .......
PDE-W 2002 0512231252.91   -1.14  127.09  33         5.90 MwHRV   ...G .......
PDE-W 2002 0513195443.12   19.14  121.24  33         5.50 MwGS    ...G .......
PDE-W 2002 0513195722.90   19.13  121.24  33         5.80 MwHRV   ...G .......
PDE-W 2002 0514141903.38    3.51  125.38  33         5.50 MwHRV   ...G .......
PDE-W 2002 0514165610.42  -36.52   78.93  10         6.30 MwHRV   ...G .......
PDE-W 2002 0515032735.58  -21.41 -174.26  10         5.90 MwGS    ...G .......
PDE-W 2002 0515034605.76   24.64  121.92  10         6.20 Ms GS   6C.G ......S
PDE-W 2002 0517104010.77   48.17  -27.81  10         5.70 mb GS   ...G .......
PDE-W 2002 0518151508.80   -2.91   33.73  10         5.50 Ms GS   .C.. .......
PDE-W 2002 0521060259.94   17.78  -81.91  10         5.70 MwGS    ...G .......
PDE-W 2002 0521200416.16   44.43  146.62 149         5.50 mb GS   4F.G .......
PDE-W 2002 0521205329.70   36.63   24.27  97         5.60 MDISK   .D.. .......
PDE-W 2002 0523155215.28  -30.75  -71.20  52         6.00 MwGS    6D.G .......
PDE-W 2002 0523220551.82   -5.82  102.06  10         5.60 MwGS    ...G .......
PDE-W 2002 0524002315.93  -31.97  -70.95  60         5.70 MwGS    6F.G .......
PDE-W 2002 0525053631.97   53.81 -161.12  33         6.50 MwHRV   ...G .......
PDE-W 2002 0526001021.04    1.83  127.24 109         5.90 MwHRV   ...G .......
PDE-W 2002 0528040422.53  -28.94  -66.80  22         6.00 mb GS   .C.G ......S
PDE-W 2002 0528164517.10   24.07  122.26  33         6.00 MwGS    4F.G .......
PDE-W 2002 0530144140.35  -19.14  168.99 157         5.60 mb GS   ...G .......
PDE-W 2002 0531060920.90   52.81  171.79  33         5.50 MLPMR   .... .......
PDE-W 2002 0603091500.70   27.56  139.78 488         5.90 MwGS    2..G .......
PDE-W 2002 0604143605.80   30.59   81.44  33         5.60 MwHRV   .F.G .......
PDE-W 2002 0605124517.32   35.47  -36.29  10         5.70 MwGS    ...G .......
PDE-W 2002 0606235348.47   -0.88  148.33  10         6.30 MwGS    ...G .......
PDE-W 2002 0607170051.53   16.11  -96.75  33         5.60 MwGS    .F.G .......
PDE-W 2002 0610025347.06  -15.51  167.54 116         5.60 MwGS    ...G .......
PDE-W 2002 0610224836.21   10.98  140.69  33         6.10 MwGS    ...G .......
PDE-W 2002 0612195247.36   -0.68  -20.72  10         5.50 mb GS   ...G .......
PDE-W 2002 0613012719.47  -47.80   99.75  10         6.60 Ms GS   ...G .......
PDE-W 2002 0616000025.60    0.50  119.90  34         5.90 MwHRV   3F.G .......
PDE-W 2002 0616024614.03    8.78  -83.99  35         6.40 MwGS    ...G .......
PDE-W 2002 0616065513.28  -17.87 -178.70 569         5.90 MwGS    ...G .......
PDE-W 2002 0616183110.82   -2.34  102.56 231         5.80 MwGS    ...G .......
PDE-W 2002 0617132556.38   -4.65 -105.38  10         6.10 MwHRV   ...G .......
PDE-W 2002 0617212622.92  -12.59  166.38  33         6.70 Ms GS   ...G .......
PDE-W 2002 0618135622.83  -30.81  -71.12  54         6.60 MwGS    7D.G .......
PDE-W 2002 0619215008.30   16.33  -97.94  33         5.50 MDUNM   .F.. .......
PDE-W 2002 0619230824.58  -19.21  169.64  33         5.50 mb GS   ...G .......
PDE-W 2002 0621000544.85   -4.49  146.77  33         6.00 MwGS    ...G .......
PDE-W 2002 0621142144.91  -15.11 -175.86 318         5.70 mb GS   ...G .......
