GRA1        +49.69188770  +11.22172020   1  -21.923    +37.862   !Graefenberg, F.R.G.
GRB1        +49.39134750  +11.65195260   1   +9.085     +4.308   !Graefenberg, F.R.G.
GRC1        +48.99616810  +11.52135040   1   -0.775    -39.662   !Graefenberg, F.R.G.
GRA2        +49.65520790  +11.35944390   1  -11.985    +33.668   !Graefenberg, F.R.G.
GRA3        +49.76220380  +11.31869510   1  -14.815    +45.618   !Graefenberg, F.R.G.
GRA4        +49.56540290  +11.43587110   1   -6.575    +23.668   !Graefenberg, F.R.G.
GRB2        +49.27092520  +11.66996610   1  +10.145     -9.162   !Graefenberg, F.R.G.
GRB3        +49.34354190  +11.80598260   1  +20.165     -1.112   !Graefenberg, F.R.G.
GRB4        +49.46893730  +11.56084630   1   +2.445    +12.858   !Graefenberg, F.R.G.
GRB5        +49.11213100  +11.67673320   1  +10.785    -26.972   !Graefenberg, F.R.G.
GRC2        +48.86756750  +11.37554260   1  -11.595    -53.902   !Graefenberg, F.R.G.
GRC3        +48.89017390  +11.58582160   1   +3.805    -51.472   !Graefenberg, F.R.G.
GRC4        +49.08674650  +11.52627200   1   -0.355    -29.602   !Graefenberg, F.R.G.
SZYKB01     +62.40240000 -114.60290000   0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKB02     +62.42479    -114.6054       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKB03     +62.44862    -114.6052       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKB04     +62.47107    -114.6049       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKB05     +62.49323    -114.6053       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKCP      +62.49323    -114.6053       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKB06     +62.51652    -114.6050       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKB07     +62.53901    -114.6053       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKB08     +62.56184    -114.6047       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKB09     +62.58295    -114.6039       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKB10     +62.60593    -114.6050       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKR01     +62.49273    -114.9456       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKR02     +62.49278    -114.8964       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKR03     +62.49298    -114.8477       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKR04     +62.49274    -114.7995       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKR05     +62.49328    -114.7499       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKR06     +62.49332    -114.7014       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKR07     +62.49337    -114.6537       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKR08     +62.49323    -114.6053       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZYKR09     +62.49314    -114.5557       0   +0.00000   +0.00000 !CANADA, YELLOWKNIFE
SZEKB01     +55.30930      -3.175272     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKB02     +55.31676      -3.170058     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKB03     +55.32464      -3.166961     0   +0.00000   +0.00000 1ESKDALEMUIR, G.B.
SZEKB04     +55.33168      -3.159631     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKB05     +55.33914      -3.154414     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKB06     +55.34660      -3.149200     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKB07     +55.35406      -3.143986     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKB08     +55.36266      -3.138058     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKB09     +55.36897      -3.133559     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKB10     +55.37643      -3.128341     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKB11     +55.38390      -3.123128     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKR01     +55.33742      -3.177250     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKR02     +55.33441      -3.164150     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKR03     +55.33140      -3.151056     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKR04     +55.32839      -3.137959     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKR05     +55.32538      -3.124864     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKR06     +55.32237      -3.111767     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKR07     +55.31936      -3.098672     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKR08     +55.31635      -3.085578     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKR09     +55.31334      -3.072480     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKR10     +55.31033      -3.059386     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
SZEKR11     +55.30732      -3.046289     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
HEA         +51.35833      -1.263889     0   +0.00000   +0.00000 !HEADLEY, G.B.
BUW         +51.40945      -1.224445     0   +0.00000   +0.00000 !BUCKLEBURY WEST, G.B.
WOL         +51.31278      -1.222778     0   +0.00000   +0.00000 !WOLVERTON, G.B.
BKN         +51.36417      -1.186944     0   +0.00000   +0.00000 !BLACKNEST, G.B.
