GS    1980  1 1 12437.20   12.353  95.192 20.0       5.1004.9Z            0X    0
GS    1980  1 1 24554.00   27.261  60.259 33.0D      5.300                0X    0
ISC   1980  1 1 24555.24   27.335  60.387 40.0       5.356                0X    0
GS    1980  1 1164145.70  -31.211  58.717 10.0G      5.000                3A  745
GS    1980  1 1164240.00   38.815 -27.780 10.0G      6.0006.7Z  7.20UKBR  3A  746
GS    1980  1 11919 5.90    3.491 126.716 54.0       5.000                0X    0
GS    1980  1 1213434.00  -13.471 166.753 60.0       5.100                0X    0
GS    1980  1 21120 4.90  -31.146  58.702 10.0G      5.2005.4Z            0X    0
GS    1980  1 2112534.00   -3.428 127.187 70.0       5.400                0X    0
ISC   1980  1 2194057.45  -22.850-175.507 33.0A      5.140                0X    0
GS    1980  1 2205844.20    5.984 126.188 63.0       6.000      6.90UKPA  0X    0
GS    1980  1 2214816.50    5.935 126.132 76.0       5.700                0X    0
GS    1980  1 2215939.40    6.034 126.312 73.0       5.100                0X    0
ISC   1980  1 222 7 3.52    5.948 126.498 71.0       5.150                0X    0
GS    1980  1 222 7 3.60    5.848 126.334 64.0       5.200                0X    0
GS    1980  1 2222712.10  -10.873 -79.123 33.0N      5.200                0X    0
GS    1980  1 2223024.20  -10.713 -79.154 17.0       5.300                0X    0
GS    1980  1 223 825.20  -10.765 -79.101 15.0       5.100                0X    0
ISC   1980  1 223 829.47  -10.985 -78.991 54.7       5.080                0X    0
GS    1980  1 3 34755.70    6.044 126.640 49.0D      5.1005.0Z            0X    0
ISC   1980  1 3 348 0.52    6.056 126.448 87.4       5.1115.0  1          0X    0
GS    1980  1 31051 0.60  -58.589 -22.146 33.0N      5.400                0X    0
GS    1980  1 3181151.40    0.036  67.175 10.0G      5.7005.7Z            3B 1545
GS    1980  1 31958 7.80   28.485 128.381134.0       5.400                0X    0
GS    1980  1 3202228.10    5.688 126.023114.0       5.800                0X    0
GS    1980  1 321 640.70  -10.869 -79.086 33.0N      5.300                0X    0
ISC   1980  1 321 642.76  -10.917 -78.911 49.7       5.319                0X    0
GS    1980  1 4 439 2.90  -17.798-178.726568.0       5.300                0X    0
GS    1980  1 4 444 2.60    5.956 126.361 56.0       5.100                0X    0
GS    1980  1 4 622 8.50    6.058 126.469 54.0       5.3005.8Z            0X    0
GS    1980  1 4 73249.80  -10.850 -79.175 33.0N      5.100                0X    0
ISC   1980  1 4 73250.99  -11.025 -79.229 33.0A      5.140                0X    0
ISC   1980  1 4105453.88   -5.615 147.230177.6       5.210                0X    0
GS    1980  1 4124653.60   17.655-100.986 66.0       5.100                0X    0
GS    1980  1 41642 8.50   42.601 144.428 93.0       5.100                0X    0
GS    1980  1 4185635.70   -6.052 128.274353.0       5.000                0X    0
GS    1980  1 5 51329.30  -11.161 -79.165 33.0N      5.000                0X    0
GS    1980  1 5 748 7.00   -6.858 129.720 93.0       5.200                0X    0
ISC   1980  1 5 748 9.26   -6.906 129.856121.1       5.210                0X    0
GS    1980  1 5114847.40   -6.659 130.624 33.0N      5.100                0X    0
ISC   1980  1 5225111.55   -2.621 128.944 33.0A      5.410                0X    0
GS    1980  1 6 5 841.10  -19.071 169.135231.0       5.200                0X    0
GS    1980  1 6 92813.90   -7.358 128.479177.0       5.400                0X    0
ISC   1980  1 61643 2.45   -3.484 139.891 90.8       5.230                0X    0
GS    1980  1 6164941.00   13.410 123.734 37.0       5.1004.5Z            0X    0
ISC   1980  1 6164943.00   13.486 123.599 52.3       5.0104.4  2          0X    0
GS    1980  1 6221047.00  -23.802-179.823474.0       5.100                0X    0
GS    1980  1 7 03335.60    2.939 -78.774 19.0       5.0004.6Z            0X    0
GS    1980  1 7193228.90    6.129 126.533 57.0       5.000                0X    0
GS    1980  1 720 657.30   51.324 156.671112.0D      5.600                3B 1441
GS    1980  1 7234426.00   40.168 124.978 10.0G      5.000                0X    0
GS    1980  1 8 027 6.30    2.508 -89.969 10.0G      5.2005.0Z            0X    0
GS    1980  1 8 634 7.90*  -4.023 101.233 33.0N      5.0004.8Z            0X    0
GS    1980  1 810 845.90    5.672 126.038112.0D      5.700                0X    0
GS    1980  1 9 3 757.90  -14.690 167.224165.0       5.500                0X    0
GS    1980  1 9144959.10*  -3.445  27.442 10.0G      5.0004.6Z            0X    0
GS    1980  110 4 425.90   -0.037  66.999 10.0G      5.1004.4Z            0X    0
GS    1980  110 9 051.40* -16.423  67.041 10.0G      5.0004.2Z            0X    0
GS    1980  110104133.20* -18.724-174.645 60.0       5.100                0X    0
ISC   1980  110104138.77  -18.851-174.354106.6       5.113                0X    0
GS    1980  110141925.40*  -3.261 139.689 83.0       5.100                0X    0
GS    1980  111123942.60*   3.644 128.264 56.0       5.000                0X    0
ISC   1980  111223837.64   -1.658 -12.638  0.0A      5.212                0X    0
GS    1980  111223840.00*  -1.589 -12.514 10.0G      5.100                0X    0
GS    1980  111225531.90*  -2.087 -12.582 10.0G      5.100                0X    0
GS    1980  112153141.80   33.494  57.191 33.0N      5.4005.9Z            0X    0
GS    1980  1121557 1.90   41.679 143.589 33.0D      5.7006.0Z            0X    0
ISC   1980  113 027 7.39   54.685 164.201 43.2D 8    5.0194.4  1          0X    0
GS    1980  113 55135.10   37.120  50.330 33.0N      5.0004.8Z            0X    0
GS    1980  113 55438.20   39.334  72.709 44.0       5.100                0X    0
GS    1980  11312 217.60   -9.776 -78.649 63.0D      5.300                0X    0
GS    1980  113152649.00    0.359 129.892 33.0N      5.000                0X    0
GS    1980  114 04314.00  -56.631 -27.081125.0       5.600                0X    0
GS    1980  114 41054.00   16.518  40.268 10.0G      5.3005.7Z            0X    0
GS    1980  114 512 3.80   23.940 124.659 33.0N      5.000                0X    0
GS    1980  11412 944.50* -22.343 172.622 33.0N      5.000                0X    0
ISC   1980  114121934.50  -22.391-174.886  0.0       5.6266.0 10          0X    0
GS    1980  114121940.20  -22.398-175.035 33.0N      5.6006.0Z            0X    0
GS    1980  114122822.60   16.453  40.232 10.0G      5.3005.1Z            0X    0
ISC   1980  11415 754.46   45.784  26.599141.3       5.015                0X    0
GS    1980  114172030.20    7.471 -34.796 10.0G      5.000                0X    0
GS    1980  1142151 1.80  -33.194 -69.459 14.0       5.6005.2Z            0X    0
GS    1980  115 42545.60  -22.209-179.499605.0       5.500                0X    0
GS    1980  115 52326.10   14.047 145.193120.0       5.200                0X    0
GS    1980  116 4 026.20  -21.829 170.585 46.0D      5.4005.6Z  5.50UKBR  0X    0
GS    1980  116112959.60    1.558 126.507 50.0       5.000                0X    0
GS    1980  116154915.00  -14.541 -73.493 94.0       5.700      6.10UKPA  0X    0
ISC   1980  11616 722.91    2.720 128.668228.3       5.380                0X    0
GS    1980  11616 723.90    2.654 128.543240.0       5.100                0X    0
GS    1980  116172939.90  -41.201  85.549 10.0G      5.000                0X    0
GS    1980  116232615.30*  -2.037 128.023 33.0N      5.200                0X    0
GS    1980  117 15220.70   32.926 141.644 20.0       5.3005.1Z            0X    0
GS    1980  117 32453.20   -7.808 127.323 44.0       5.100                0X    0
ISC   1980  117 32455.80   -7.882 127.448 72.3       5.240                0X    0
GS    1980  117 92156.60   28.305 138.832541.0D      5.300                0X    0
ISC   1980  11712 514.38  -20.906-173.348 33.0A      5.010                0X    0
GS    1980  11819 641.00    3.607 128.113110.0       5.200                0X    0
GS    1980  118215526.70* -53.658 159.628 10.0G      5.5005.9Z            0X    0
ISC   1980  118215527.81  -53.856 158.901 10.0A      5.1305.9  3          0X    0
GS    1980  118221015.90   37.721 133.414442.0D      5.500                0X    0
GS    1980  118233732.30*   7.813 -74.299 33.0N      5.000                0X    0
ISC   1980  118233732.91    7.935 -74.085 33.0A      5.020                0X    0
GS    1980  119 14641.30   -2.008 137.368 33.0N      5.1005.3Z            0X    0
GS    1980  119 7 235.00   51.317-178.488 50.0       5.8005.7Z  5.70UKBR  3B 1546
ISC   1980  119191527.73   11.915 144.908 34.4       5.1804.2  1          0X    0
GS    1980  119191528.00   11.902 144.767 37.0       5.100                0X    0
ISC   1980  120 1 332.24  -22.872-114.396 33.0A      4.9115.2  2          0X    0
GS    1980  120 1 333.20  -22.733-114.200 33.0N      5.0005.2Z            0X    0
GS    1980  120 72843.90    2.714 128.526211.0D      5.800                0X    0
GS    1980  120122017.70   -7.063 129.357110.0       5.500                0X    0
GS    1980  121 23851.60  -15.583-172.817 33.0N      5.1005.2Z            0X    0
GS    1980  121162920.90   -8.442 116.096 33.0N      5.200                0X    0
GS    1980  12121 634.50   41.904 141.000131.0       5.000                0X    0
GS    1980  122 4 645.40*  -1.444 -15.596 10.0G      5.0004.7Z            0X    0
GS    1980  122 433 7.80  -16.002-174.150155.0D      5.300                0X    0
GS    1980  123 15144.40   52.322 160.132 33.0N      5.5005.6Z  5.60MLBR  4A 1613
GS    1980  123 23412.50   52.231 160.188 33.0N      5.6005.6Z            0X    0
GS    1980  123 65250.00   52.341 160.191 33.0N      5.7005.4Z            0X    0
GS    1980  123 71540.30   52.289 160.307 33.0N      5.100                0X    0
ISC   1980  123 71542.75   52.367 160.122 51.2D 3    5.148                0X    0
GS    1980  123 72235.80   52.240 160.232 33.0N      5.2005.3Z            0X    0
GS    1980  123 81226.70   52.287 160.318 33.0N      5.7005.5Z            0X    0
ISC   1980  123 81721.45   52.398 159.851 33.0A      5.024                0X    0
GS    1980  123 81722.10   52.475 159.635 33.0N      5.000                0X    0
GS    1980  123 82253.10   52.323 160.352 33.0N      5.300                0X    0
GS    1980  12310 711.60   52.239 160.226 33.0N      5.3005.2Z            0X    0
GS    1980  1231156 2.00   52.336 160.327 33.0N      5.0005.0Z            0X    0
GS    1980  123115645.20*  52.685 159.199 33.0N      5.200                0X    0
GS    1980  12314 357.40*  52.416 160.024 33.0N      5.000                0X    0
GS    1980  124 63547.10  -13.658 166.553 33.0N      5.200                0X    0
GS    1980  124 65549.80   52.285 160.065 33.0N      5.0005.0Z            0X    0
GS    1980  12419 0 9.50B  37.852-121.815 11.0       5.3005.9Z  5.50MLBR  0X    0
ISC   1980  12419 1 2.10RL 37.820-121.799  5.0A      0.000      5.10UK    0X    0
GS    1980  125 44729.80  -20.457 -69.898 33.0N      5.100                0X    0
ISC   1980  125 44733.11  -20.566 -70.104 64.3       5.140                0X    0
GS    1980  125113855.30   52.076 160.295 33.0N      5.5005.3Z            0X    0
ISC   1980  125162141.37  -30.557-177.893 33.2       5.040                0X    0
GS    1980  125162141.80  -30.390-178.095 33.0N      5.200                0X    0
GS    1980  126 1 049.90   13.761  57.097 10.0G      5.1004.7Z            0X    0
GS    1980  126152715.00    2.333 -79.371 33.0N      5.0005.3Z            0X    0
GS    1980  127 23336.00B  37.737-121.740 15.0       5.0005.0Z  5.80MLBR  0X    0
GS    1980  1271638 1.10  -35.379-105.869 10.0G      5.7005.9Z  5.90UKBR  0X    0
ISC   1980  128 45730.29  -17.437-178.726573.9       5.210                0X    0
GS    1980  128102356.40    3.749 128.480 53.0       5.000                0X    0
